title,neighborhood,price,url,description
"Piso  en  Carrer santa coloma, 68. Obra nueva",Barcelona - Sant Andreu,480.000 €,https://www.habitaclia.com/comprar-piso-obra_nueva_calle_santa_coloma_68_sant_andreu-barcelona-i4284003748867.htm?pag=1&f=&from=list&lo=55,¡¡EDIFICIO DE OBRA NUEVA. VIVIENDAS EN BARCELONA!!  ¡¡OBRAS INICIADAS!!  ESTA VIVIENDA TIENE UN ESPACIO DE TERRAZA P...
VIU MASADAS,Barcelona - La Sagrera,443.500 €,https://www.habitaclia.com/obra_nueva-viviendas-en-barcelona/promo_5311003736777?from=list&lo=56,"Edificio viviendas  en Barcelona, Edificio viviendas La Sagrera Barcelona de 79 m 2  por 443.500 €..."
"Dúplex  Carrer de l'abat odó. Dúplex con 4 habitaciones con ascensor, piscina, calefacción y a",Barcelona - Sant Andreu,660.000 €,https://www.habitaclia.com/comprar-duplex-con_4_habitaciones_con_ascensor_piscina_calefaccion_y_a_sant_andreu-barcelona-i3369004323766.htm?pag=2&f=&from=list&lo=55,Espectacular DUPLEX tipo casa en Sant Andreu. ÚNICO EN LA ZONA. Finca del m2 útiles de vivienda + 93m2 de terr...
Piso  Carrer cinca. Fantástico vallehermoso,Barcelona - Sant Andreu,390.000 €,https://www.habitaclia.com/comprar-piso-fantastico_vallehermoso_sant_andreu-barcelona-i13909004321896.htm?pag=2&f=&from=list&lo=55,Tecnocasa Estudi Gran de Sant Andreu S. L. U. tiene el placer de presentarles este inmueble en exclusiva.  Fantástico...
Piso  Carrer palomar,Barcelona - Sant Andreu,189.500 €,https://www.habitaclia.com/comprar-piso-sant_andreu-barcelona-i2907004326408.htm?pag=2&f=&from=list&lo=55,PALOMAR-GRAN DE SANT ANDREU Bonito piso en Sant Andreu. Finca joven. Piso en perfecto estado. 1 Habitación. Todo eléctri...
Piso  Passeig torras i bages. Vivienda en torras i bages,Barcelona - Sant Andreu,350.000 €,https://www.habitaclia.com/comprar-piso-vivienda_en_torras_i_bages_sant_andreu-barcelona-i517004314217.htm?pag=2&f=&from=list&lo=55,"Vivienda de nueva construcción, situada en el Pg. de Torras i Bages. Sup. útil: 72 m2, de 3 dormitorios, 2 baños complet..."
Piso  Avinguda meridiana,Barcelona - Sant Andreu,224.000 €,https://www.habitaclia.com/comprar-piso-sant_andreu-barcelona-i4027004298154.htm?pag=2&f=&from=list&lo=55,"Dolça Llar presenta en exclusiva magnifica vivienda de 74 m² útiles, 2 habitaciones amplias, salón-comedor con salida a..."
Piso  Passeig fabra i puig. Con plaza de parking,Barcelona - Sant Andreu,159.000 €,https://www.habitaclia.com/comprar-piso-con_plaza_de_parking_sant_andreu-barcelona-i33470004320402.htm?pag=2&f=&from=list&lo=55,"PISO EN VENTA.     DESCRIPCIÓN: Piso en venta, en Sant Andreu, en Rambla de Fabra i Puig, junto Hipercor, de 37 metros..."
Piso  Carretera ribes. Obra nueva,Barcelona - Sant Andreu,407.400 €,https://www.habitaclia.com/comprar-piso-obra_nueva_sant_andreu-barcelona-i34612004105824.htm?pag=2&f=&from=list&lo=55,"CULMIA Plaça Primavera es una promoción de 35 viviendas de 2, 3 y 4 dormitorios, con garaje, trastero y un local comerci..."
"Piso  Carrer de castellbell. Piso con 2 habitaciones con ascensor, aire acondicionado y vista",Barcelona - Sant Andreu,199.500 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_aire_acondicionado_y_vista_sant_andreu-barcelona-i3369004323768.htm?pag=2&f=&from=list&lo=55,"Se vende piso actualizado en la C/ Castellbell, tocando la Plaça de les Palmeres, a 3 minutos caminando de la Rambla Fab..."
